time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1774360506.462,29.131,0.0,0.0,0.0,0.0,0.0,0
1774360506.963,29.633,0.0,0.0,0.0,0.0,0.0,0
1774360507.464,30.134,0.0,0.0,0.0,0.0,0.0,0
1774360507.966,30.635,0.0,0.0,0.0,0.0,0.0,0
1774360508.467,31.137,0.0,0.0,0.0,0.0,0.0,0
1774360508.969,31.638,0.0,0.0,0.0,0.0,0.0,0
1774360509.470,32.139,0.0,0.0,0.0,0.0,0.0,0
1774360509.971,32.641,0.0,0.0,0.0,0.0,0.0,0
1774360510.473,33.142,0.0,0.0,0.0,0.0,0.0,0
1774360510.924,33.593,0.0,0.0,0.0,0.0,0.0,0
1774360511.425,34.095,0.0,0.0,0.0,0.0,0.0,0
1774360511.927,34.596,0.0,0.0,0.0,0.0,0.0,0
1774360512.428,35.097,0.0,0.0,0.0,0.0,0.0,0
1774360512.929,35.599,0.0,0.0,0.0,0.0,0.0,0
1774360513.431,36.100,0.0,0.0,0.0,0.0,0.0,0
1774360513.932,36.602,0.0,0.0,0.0,0.0,0.0,0
1774360514.434,37.103,0.0,0.0,0.0,0.0,0.0,0
1774360514.935,37.604,0.0,0.0,0.0,0.0,0.0,0
1774360515.436,38.106,0.0,0.0,0.0,0.0,0.0,0
1774360515.938,38.607,0.0,0.0,0.0,0.0,0.0,0
1774360516.439,39.109,0.0,0.0,0.0,0.0,0.0,0
1774360516.941,39.611,0.0,0.0,0.0,0.0,0.0,0
1774360517.443,40.112,0.0,0.0,0.0,0.0,0.0,0
1774360517.945,40.614,0.0,0.0,0.0,0.0,0.0,0
1774360518.446,41.116,0.0,0.0,0.0,0.0,0.0,0
1774360518.948,41.617,0.0,0.0,0.0,0.0,0.0,0
1774360519.449,42.119,0.0,0.0,0.0,0.0,0.0,0
1774360519.951,42.621,0.0,0.0,0.0,0.0,0.0,0
1774360520.453,43.122,0.0,0.0,0.0,0.0,0.0,0
1774360520.954,43.624,0.0,0.0,0.0,0.0,0.0,0
1774360521.456,44.126,0.0,0.0,0.0,0.0,0.0,0
1774360521.958,44.627,0.0,0.0,0.0,0.0,0.0,0
1774360522.459,45.129,0.0,0.0,0.0,0.0,0.0,0
1774360522.963,45.633,0.0,0.0,0.0,0.0,0.0,0
1774360523.465,46.134,0.0,0.0,0.0,0.0,0.0,0
1774360523.966,46.636,0.0,0.0,0.0,0.0,0.0,0
1774360524.468,47.137,0.0,0.0,0.0,0.0,0.0,0
1774360524.970,47.639,0.0,0.0,0.0,0.0,0.0,0
1774360525.472,48.141,0.0,0.0,0.0,0.0,0.0,0
1774360525.973,48.643,0.0,0.0,0.0,0.0,0.0,0
1774360526.425,49.094,0.0,0.0,0.0,0.0,0.0,0
1774360526.926,49.596,0.0,0.0,0.0,0.0,0.0,0
1774360527.428,50.097,0.0,0.0,0.0,0.0,0.0,0
1774360527.930,50.599,0.0,0.0,0.0,0.0,0.0,0
1774360528.431,51.101,0.0,0.0,0.0,0.0,0.0,0
1774360528.933,51.602,0.0,0.0,0.0,0.0,0.0,0
1774360529.434,52.104,0.0,0.0,0.0,0.0,0.0,0
1774360529.936,52.605,0.0,0.0,0.0,0.0,0.0,0
1774360530.437,53.106,0.0,0.0,0.0,0.0,0.0,0
1774360530.938,53.608,0.0,0.0,0.0,0.0,0.0,0
1774360531.440,54.109,0.0,0.0,0.0,0.0,0.0,0
1774360531.941,54.611,0.0,0.0,0.0,0.0,0.0,0
1774360532.443,55.112,0.0,0.0,0.0,0.0,0.0,0
1774360532.944,55.614,0.0,0.0,0.0,0.0,0.0,0
1774360533.446,56.115,0.0,0.0,0.0,0.0,0.0,0
1774360533.947,56.617,0.0,0.0,0.0,0.0,0.0,0
1774360534.449,57.118,0.0,0.0,0.0,0.0,0.0,0
1774360534.950,57.620,0.0,0.0,0.0,0.0,0.0,0
1774360535.452,58.121,0.0,0.0,0.0,0.0,0.0,0
1774360535.953,58.623,0.0,0.0,0.0,0.0,0.0,0
1774360536.455,59.124,0.0,0.0,0.0,0.0,0.0,0
1774360536.957,59.626,0.0,0.0,0.0,0.0,0.0,0
1774360537.458,60.128,0.0,0.0,0.0,0.0,0.0,0
1774360537.960,60.629,0.0,0.0,0.0,0.0,0.0,0
1774360538.462,61.131,0.0,0.0,0.0,0.0,0.0,0
1774360538.963,61.633,0.0,0.0,0.0,0.0,0.0,0
1774360539.465,62.134,0.0,0.0,0.0,0.0,0.0,0
1774360539.966,62.636,0.0,0.0,0.0,0.0,0.0,0
1774360540.468,63.138,0.0,0.0,0.0,0.0,0.0,0
1774360540.970,63.639,0.0,0.0,0.0,0.0,0.0,0
1774360541.471,64.141,0.0,0.0,0.0,0.0,0.0,0
1774360541.973,64.643,0.0,0.0,0.0,0.0,0.0,0
1774360542.425,65.094,0.0,0.0,0.0,0.0,0.0,0
1774360542.926,65.595,0.0,0.0,0.0,0.0,0.0,0
1774360543.428,66.097,0.0,0.0,0.0,0.0,0.0,0
1774360543.929,66.599,0.0,0.0,0.0,0.0,0.0,0
1774360544.431,67.100,0.0,0.0,0.0,0.0,0.0,0
1774360544.933,67.602,0.0,0.0,0.0,0.0,0.0,0
1774360545.434,68.104,0.0,0.0,0.0,0.0,0.0,0
1774360545.936,68.606,0.0,0.0,0.0,0.0,0.0,0
1774360546.438,69.107,0.0,0.0,0.0,0.0,0.0,0
1774360546.939,69.609,0.0,0.0,0.0,0.0,0.0,0
1774360547.441,70.111,0.0,0.0,0.0,0.0,0.0,0
1774360547.943,70.612,0.0,0.0,0.0,0.0,0.0,0
1774360548.444,71.114,0.0,0.0,0.0,0.0,0.0,0
1774360548.946,71.615,0.0,0.0,0.0,0.0,0.0,0
1774360549.448,72.117,0.0,0.0,0.0,0.0,0.0,0
1774360549.950,72.619,0.0,0.0,0.0,0.0,0.0,0
1774360550.451,73.121,0.0,0.0,0.0,0.0,0.0,0
1774360550.948,73.617,0.0,0.0,0.0,0.0,0.0,0
1774360551.450,74.119,0.0,0.0,0.0,0.0,0.0,0
1774360551.951,74.621,0.0,0.0,0.0,0.0,0.0,0
1774360552.453,75.123,0.0,0.0,0.0,0.0,0.0,0
1774360552.955,75.624,0.0,0.0,0.0,0.0,0.0,0
1774360553.456,76.126,0.0,0.0,0.0,0.0,0.0,0
1774360553.958,76.627,0.0,0.0,0.0,0.0,0.0,0
1774360554.459,77.129,0.0,0.0,0.0,0.0,0.0,0
1774360554.961,77.630,0.0,0.0,0.0,0.0,0.0,0
1774360555.462,78.132,0.0,0.0,0.0,0.0,0.0,0
1774360555.964,78.633,0.0,0.0,0.0,0.0,0.0,0
1774360556.465,79.135,0.0,0.0,0.0,0.0,0.0,0
1774360556.966,79.636,0.0,0.0,0.0,0.0,0.0,0
1774360557.468,80.137,0.0,0.0,0.0,0.0,0.0,0
1774360557.970,80.639,0.0,0.0,0.0,0.0,0.0,0
1774360558.471,81.141,0.0,0.0,0.0,0.0,0.0,0
1774360558.973,81.642,0.0,0.0,0.0,0.0,0.0,0
1774360559.424,82.094,0.0,0.0,0.0,0.0,0.0,0
1774360559.926,82.595,0.0,0.0,0.0,0.0,0.0,0
1774360560.427,83.097,0.0,0.0,0.0,0.0,0.0,0
1774360560.929,83.598,0.0,0.0,0.0,0.0,0.0,0
1774360561.431,84.100,0.0,0.0,0.0,0.0,0.0,0
1774360561.932,84.602,0.0,0.0,0.0,0.0,0.0,0
1774360562.434,85.103,0.0,0.0,0.0,0.0,0.0,0
1774360562.935,85.605,0.0,0.0,0.0,0.0,0.0,0
1774360563.437,86.106,0.0,0.0,0.0,0.0,0.0,0
1774360563.938,86.608,0.0,0.0,0.0,0.0,0.0,0
1774360564.440,87.109,0.0,0.0,0.0,0.0,0.0,0
1774360564.941,87.611,0.0,0.0,0.0,0.0,0.0,0
1774360565.443,88.113,0.0,0.0,0.0,0.0,0.0,0
1774360565.945,88.614,0.0,0.0,0.0,0.0,0.0,0
1774360566.446,89.116,0.0,0.0,0.0,0.0,0.0,0
1774360566.948,89.618,0.0,0.0,0.0,0.0,0.0,0
1774360567.450,90.119,0.0,0.0,0.0,0.0,0.0,0
1774360567.951,90.621,0.0,0.0,0.0,0.0,0.0,0
1774360568.452,91.122,0.0,0.0,0.0,0.0,0.0,0
1774360568.954,91.624,0.0,0.0,0.0,0.0,0.0,0
1774360569.456,92.125,0.0,0.0,0.0,0.0,0.0,0
1774360569.957,92.626,0.0,0.0,0.0,0.0,0.0,0
1774360570.459,93.128,0.0,0.0,0.0,0.0,0.0,0
1774360570.960,93.630,0.0,0.0,0.0,0.0,0.0,0
1774360571.462,94.131,0.0,0.0,0.0,0.0,0.0,0
1774360571.963,94.633,0.0,0.0,0.0,0.0,0.0,0
1774360572.465,95.134,0.0,0.0,0.0,0.0,0.0,0
1774360572.966,95.636,0.0,0.0,0.0,0.0,0.0,0
1774360573.468,96.137,0.0,0.0,0.0,0.0,0.0,0
1774360573.969,96.639,0.0,0.0,0.0,0.0,0.0,0
1774360574.471,97.140,0.0,0.0,0.0,0.0,0.0,0
1774360574.972,97.642,0.0,0.0,0.0,0.0,0.0,0
1774360575.424,98.093,0.0,0.0,0.0,0.0,0.0,0
1774360575.925,98.595,0.0,0.0,0.0,0.0,0.0,0
1774360576.427,99.096,0.0,0.0,0.0,0.0,0.0,0
1774360576.928,99.598,0.0,0.0,0.0,0.0,0.0,0
1774360577.430,100.099,0.0,0.0,0.0,0.0,0.0,0
1774360577.931,100.601,0.0,0.0,0.0,0.0,0.0,0
1774360578.433,101.103,0.0,0.0,0.0,0.0,0.0,0
1774360578.935,101.604,0.0,0.0,0.0,0.0,0.0,0
1774360579.436,102.106,0.0,0.0,0.0,0.0,0.0,0
1774360579.938,102.607,0.0,0.0,0.0,0.0,0.0,0
1774360580.439,103.109,0.0,0.0,0.0,0.0,0.0,0
1774360580.941,103.610,0.0,0.0,0.0,0.0,0.0,0
1774360581.443,104.112,0.0,0.0,0.0,0.0,0.0,0
1774360581.944,104.614,0.0,0.0,0.0,0.0,0.0,0
1774360582.446,105.115,0.0,0.0,0.0,0.0,0.0,0
1774360582.947,105.617,0.0,0.0,0.0,0.0,0.0,0
1774360583.449,106.118,0.0,0.0,0.0,0.0,0.0,0
1774360583.951,106.620,0.0,0.0,0.0,0.0,0.0,0
1774360584.452,107.122,0.0,0.0,0.0,0.0,0.0,0
1774360584.954,107.623,0.0,0.0,0.0,0.0,0.0,0
1774360585.455,108.125,0.0,0.0,0.0,0.0,0.0,0
1774360585.957,108.626,0.0,0.0,0.0,0.0,0.0,0
1774360586.459,109.128,0.0,0.0,0.0,0.0,0.0,0
1774360586.960,109.629,0.0,0.0,0.0,0.0,0.0,0
